feature,mean_abs_shap
remainder__new_device,0.07286285985104311
remainder__transaction_frequency,0.07192620378128126
remainder__previous_fraud_count,0.05914646553640801
remainder__account_age_days,0.021561471050534027
remainder__location_distance_km,0.019941213036106728
remainder__amount,0.017936590000703447
remainder__hour,0.015650496451911217
remainder__day_of_week,0.013094596458047156
categorical__location_Pune,0.005825456425119785
categorical__location_Other,0.004899457161818669
categorical__payment_method_Credit Card,0.004607262658078109
categorical__location_Bangalore,0.004193737137344864
categorical__device_Desktop,0.003694748489600588
categorical__location_Delhi,0.003554115577489774
categorical__location_Kolkata,0.0028474817903231266
categorical__device_Mobile,0.0027975258251563225
categorical__location_Mumbai,0.0025562299175145124
categorical__payment_method_UPI,0.0025542084655269573
remainder__is_weekend,0.0020017545882517053
categorical__payment_method_Wallet,0.0019746422723728885
categorical__location_Chennai,0.001750182359695758
categorical__location_Hyderabad,0.0015230000267515136
categorical__payment_method_Debit Card,0.0014688143018338695
categorical__device_Tablet,0.0013624938084057393
categorical__payment_method_Net Banking,0.0012844137576991893
